source,target,weight,coordinates_source,coordinates_target,exhibit_source,exhibit_target
192,191,53,"(123, 334)","(126, 384)",826.0,825.0
178,179,36,"(80, 516)","(80, 552)",NA,806.0
196,194,58,"(64, 425)","(51, 380)",827.0,828.0
193,194,59,"(63, 333)","(51, 380)",830.0,828.0
176,177,60,"(67, 475)","(49, 517)",812.0,808.0
180,177,34,"(47, 549)","(49, 517)",805.0,808.0
176,178,54,"(67, 475)","(80, 516)",812.0,NA
177,178,32,"(49, 517)","(80, 516)",808.0,NA
180,181,62,"(47, 549)","(72, 586)",805.0,804.0
238,181,72,"(89, 641)","(72, 586)",454.0,804.0
177,180,34,"(49, 517)","(47, 549)",808.0,805.0
179,180,36,"(80, 552)","(47, 549)",806.0,805.0
238,229,60,"(89, 641)","(79, 691)",454.0,NA
228,229,55,"(28, 687)","(79, 691)",459.0,NA
238,239,58,"(89, 641)","(31, 641)",454.0,458.0
181,182,60,"(72, 586)","(117, 571)",804.0,803.0
181,182,60,"(72, 586)","(117, 571)",804.0,803.0
182,183,56,"(117, 571)","(169, 567)",803.0,802.0
182,183,56,"(117, 571)","(169, 567)",803.0,802.0
184,186,53,"(227, 383)","(224, 333)",819.0,820.0
184,186,53,"(227, 383)","(224, 333)",819.0,820.0
184,188,47,"(227, 383)","(180, 383)",819.0,822.0
187,188,50,"(179, 334)","(180, 383)",823.0,822.0
191,188,55,"(126, 384)","(180, 383)",825.0,822.0
191,188,55,"(126, 384)","(180, 383)",825.0,822.0
187,192,56,"(179, 334)","(123, 334)",823.0,826.0
187,192,56,"(179, 334)","(123, 334)",823.0,826.0
191,192,53,"(126, 384)","(123, 334)",825.0,826.0
191,192,53,"(126, 384)","(123, 334)",825.0,826.0
193,192,61,"(63, 333)","(123, 334)",830.0,826.0
186,187,46,"(224, 333)","(179, 334)",820.0,823.0
186,187,46,"(224, 333)","(179, 334)",820.0,823.0
192,187,56,"(123, 334)","(179, 334)",826.0,823.0
192,193,61,"(123, 334)","(63, 333)",826.0,830.0
192,193,61,"(123, 334)","(63, 333)",826.0,830.0
192,193,61,"(123, 334)","(63, 333)",826.0,830.0
195,193,65,"(82, 379)","(63, 333)",829.0,830.0
193,195,65,"(63, 333)","(82, 379)",830.0,829.0
194,195,32,"(51, 380)","(82, 379)",828.0,829.0
193,197,60,"(63, 333)","(83, 293)",830.0,917.0
198,197,56,"(85, 239)","(83, 293)",918.0,917.0
195,196,64,"(82, 379)","(64, 425)",829.0,827.0
194,196,58,"(51, 380)","(64, 425)",828.0,827.0
198,199,66,"(85, 239)","(84, 174)",918.0,919.0
200,199,79,"(76, 103)","(84, 174)",NA,919.0
197,198,56,"(83, 293)","(85, 239)",917.0,918.0
199,198,66,"(84, 174)","(85, 239)",919.0,918.0
197,206,151,"(83, 293)","(233, 292)",917.0,NA
207,206,91,"(235, 203)","(233, 292)",999.0,NA
199,200,79,"(84, 174)","(76, 103)",919.0,NA
201,200,42,"(117, 102)","(76, 103)",921.0,NA
200,201,42,"(76, 103)","(117, 102)",NA,921.0
202,201,43,"(160, 102)","(117, 102)",920.0,921.0
202,201,43,"(160, 102)","(117, 102)",922.0,921.0
201,202,43,"(117, 102)","(160, 102)",921.0,920.0
201,202,43,"(117, 102)","(160, 102)",921.0,922.0
203,202,40,"(200, 102)","(160, 102)",923.0,920.0
203,202,40,"(200, 102)","(160, 102)",923.0,922.0
202,203,40,"(160, 102)","(200, 102)",920.0,923.0
202,203,40,"(160, 102)","(200, 102)",922.0,923.0
204,203,40,"(239, 101)","(200, 102)",924.0,923.0
203,204,40,"(200, 102)","(239, 101)",923.0,924.0
205,204,45,"(284, 101)","(239, 101)",925.0,924.0
204,205,45,"(239, 101)","(284, 101)",924.0,925.0
222,221,47,"(278, 693)","(278, 740)",176.0,NA
220,221,60,"(337, 739)","(278, 740)",405.0,NA
234,221,45,"(233, 740)","(278, 740)",450.0,NA
221,223,62,"(278, 740)","(277, 801)",NA,464.0
234,223,105,"(233, 740)","(277, 801)",450.0,464.0
221,234,45,"(278, 740)","(233, 740)",NA,450.0
223,234,105,"(277, 801)","(233, 740)",464.0,450.0
224,234,87,"(201, 795)","(233, 740)",463.0,450.0
233,234,41,"(195, 743)","(233, 740)",NA,450.0
218,219,77,"(476, 739)","(400, 738)",403.0,404.0
219,220,64,"(400, 738)","(337, 739)",404.0,405.0
234,224,87,"(233, 740)","(201, 795)",450.0,463.0
223,224,82,"(277, 801)","(201, 795)",464.0,463.0
233,224,58,"(195, 743)","(201, 795)",NA,463.0
234,235,59,"(233, 740)","(233, 681)",450.0,451.0
224,225,102,"(201, 795)","(102, 792)",463.0,462.0
231,225,62,"(112, 740)","(102, 792)",456.0,462.0
224,233,58,"(201, 795)","(195, 743)",463.0,NA
232,233,44,"(153, 741)","(195, 743)",457.0,NA
225,226,76,"(102, 792)","(27, 793)",462.0,461.0
225,232,102,"(102, 792)","(153, 741)",462.0,457.0
226,227,57,"(27, 793)","(27, 736)",461.0,460.0
230,227,56,"(80, 739)","(27, 736)",455.0,460.0
230,231,33,"(80, 739)","(112, 740)",455.0,456.0
227,228,50,"(27, 736)","(28, 687)",460.0,459.0
227,230,56,"(27, 736)","(80, 739)",460.0,455.0
229,230,49,"(79, 691)","(80, 739)",NA,455.0
229,238,60,"(79, 691)","(89, 641)",NA,454.0
237,238,97,"(183, 638)","(89, 641)",453.0,454.0
239,238,58,"(31, 641)","(89, 641)",458.0,454.0
235,236,42,"(233, 681)","(238, 644)",451.0,452.0
236,237,61,"(238, 644)","(183, 638)",452.0,453.0
